Title,Authors,Publication,Volume,Number,Pages,Year,Publisher,Citações,Selecionados
Requirements customized recommendation in a decision-making system,"Abdelmadjid, Larbi; Mimoun, Malki; ",Proceedings of the 7th International Conference on Software Engineering and New Technologies,,,1-5,2018,,2,
Requisitos funcionais de um sistema de informações para gestão de custos no setor público,"ALVES FILHO, EMILIO MALTEZ; Martinez, Antonio Lopo; ",Anais do Congresso Brasileiro de Custos-ABC,,,,2006,,19,Sim
ILUSTRANDO REQUISITOS NÃO FUNCIONAIS DE USABILIDADE PARA FERRAMENTAS DE ANÁLISE MULTIDIMENSIONAL,"Bach, Catharine Ferreira; Ferreira, Simone Bacellar Leal; da Silveira, Denis Silva; Baião, Fernanda; ",,,,,,,0,
Metodologia E Engenharia De Requisitos Para Projetos De Business Intelligence,"Bonel, Claudio; ",,,,,2021,Clube de Autores,1,Sim
Ferramenta de análise do desempenho de uma solução de monitoramento de processo agrícola sucroalcooleiro,"Britto, Luiz Henrique Castro Costa; ",,,,,2020,"Florianópolis, SC.",0,
Building the Agile Database: How to Build a Successful Application Using Agile Without Sacrificing Data Management,"Burns, Larry; ",,,,,2011,Technics Publications,12,Sim
Validação de dados em sistemas de data warehouse através de índice de similaridade no processo de ETL e mapeamento de trilhas de auditoria utilizando indexação ontológica,"Campos, Sandir Rodrigues; ",,,,,2013,,2,Sim
Uma Estratégia para Implantação de uma Gerência de Requisitos visando a Melhoria dos Processos de Software,"Carvalho, Ana E; Tavares, HCAB; Castro, Jaelson Brelaz; ","WER01. Buenos Aires, Argentina",,,,2001,,23,Sim
Aplicação de práticas ágeis na construção de Data Warehouse evolutivo,"Carvalho, Guilherme Tozo de; ",,,,,2009,Universidade de Sao Paulo,6,Sim
Uso de práticas ágeis em projetos de Data Mart,"Carvalho, Renato Guimarães; ",,,,,,,0,
Utilizando a Metodologia Enterprise Knowledge Development no Processo de Desenvolvimento de Sistemas de Apoio à Decisão,"Catarino, Iolanda Cláudia Sanches; Cazarini, Edson Walmir; ",UNOPAR Científica Ciências Exatas e Tecnológicas,7,1,,2008,,1,
