Title,Year,Citações,Academi,Eng. Village,IEE,ScienceDirect,Selecionados,Observação
Research directions in requirements engineering,2007,956,X,-,-,-,Sim/2,Indicação Prof.Julio Leite Incluído
GRAnD: A goal-oriented approach to requirement analysis in data warehouses,2008,267,-,-,-,X,Sim/2,
Requirements Engineering Tools,2011,103,-,-,X,-,Apoio,
An approach to engineering the requirements of data warehouses,2008,96,X,-,-,-,Sim/2,"Indicação Prof.Julio Leite, estava na lista"
A method for demand-driven information requirements analysis in data warehousing projects,2003,86,-,-,X,-,Indisponível,
User Requirement Analysis in Data Warehouse Design: A Review,2013,66,-,-,-,X,Sim/2,
Information requirements engineering for data warehouse systems,2004,50,-,X,-,-,Sim/2,"Indicação Prof.Julio Leite, estava na lista"
"Method Support of Information Requirements Analysis for Analytical Information Systems: State of the Art, Practice Requirements, and Research Agenda",2011,46,X,-,-,-,Sim/2,
Big Data O Futuro dos Dados e Aplicações,2018,44,X,-,-,-,Sim,
Análise e Gestão de Requisitos de Software Onde nascem os sistemas,2018,42,X,-,-,-,Sim,
Enhancing Data Warehouse Design with the NFR Framework.,2002,33,X,-,-,-,Sim,
Requirements engineering for data warehousing,2003,27,X,-,-,-,Sim/2,Indicação Prof.Julio Leite
Stakeholders driven requirements engineering approach for data warehouse development,2010,26,X,-,-,-,Sim/2,Indicação Prof.Julio Leite
Uma Estratégia para Implantação de uma Gerência de Requisitos visando a Melhoria dos Processos de Software,2001,23,X,-,-,-,Sim,
Towards a methodology for requirements analysis of data warehouse systems,2002,22,X,-,-,-,Sim/2,
Requisitos funcionais de um sistema de informações para gestão de custos no setor público,2006,19,X,-,-,-,Sim,
Demand-driven information requirements analysis in data warehousing,2003,19,X,-,-,-,Sim/2,
Decisions and decision requirements for data warehouse systems,2011,18,X,X,-,-,Indisponível,
Data Warehouse Requirements Engineering,2018,17,X,-,-,-,Sim/2,"Indicação Prof.Julio Leite, estava na lista"
Towards Comprehensive Requirement Analysis for Data Warehouses: Considering Security Requirements,2008,16,-,-,X,-,,
From early requirements to late requirements modeling for a data warehouse,2009,14,X,X,X,-,Indisponível,
Early information requirements engineering for target driven data warehouse development,2012,12,X,X,-,-,Sim,"Indicação Prof.Julio Leite, estava na lista"
Building the Agile Database: How to Build a Successful Application Using Agile Without Sacrificing Data Management,2011,12,X,-,-,-,Sim,
Towards development of health Data Warehouse: Bangladesh perspective,2015,11,-,-,X,-,,
DWARF: an approach for requirements definition and management of data warehouse systems,2003,11,-,-,X,-,Sim/2,"Indicação Prof.Julio Leite, estava na lista"
Toward Developing Data Warehousing Process Standards: An Ontology-Based Review of Existing Methodologies,2007,10,-,-,X,-,,
A gestão da qualidade dos dados em ambientes de data warehousing na prossecução da excelência da informação,2006,10,X,-,-,-,Sim,
Requirements-driven data warehouse design based on enhanced pivot tables,2021,9,-,X,-,-,Sim,
Quality-oriented requirements engineering for a data warehouse,2011,9,X,-,-,-,?,
Agent oriented requirements engineering for a data warehouse,2009,9,X,-,-,-,Sim,
Requirement elicitation techniques for data warehouse review paper,2012,8,X,-,-,-,Sim/2,
Data warehouse requirements engineering: A decision based approach,2018,7,-,X,-,-,Sim/2,
On completeness and traceability metrics for data warehouse requirements engineering,2013,7,X,-,-,-,Sim,
Eliciting user requirements when there is no organization: a mixed method for an educational data warehouse project,2011,6,-,-,-,X,,
Rameps: A goal-ontology approach to analyse the requirements for data warehouse systems,2010,6,-,X,-,-,Sim,
Aplicação de práticas ágeis na construção de Data Warehouse evolutivo,2009,6,X,-,-,-,Apoio,
"Validação de decisor, um sistema de apoio à decisão multicriterial para mapear processos decisórios",2006,6,X,-,-,-,,
DAREF: MDA framework for modelling data warehouse requirements and deducing the multidimensional schema,2021,5,-,X,-,-,Sim,
Requirement analysis in data warehouses to support external information,2015,5,X,-,-,-,Sim/2,
Quality-oriented requirements engineering approach for data warehouse,2012,5,X,-,-,-,Sim,
Towards a data warehouse testing framework,2012,5,-,-,X,-,,
Artefatos da semiótica organizacional na elicitação de requisitos para soluções de data warehouse,2006,5,X,-,-,-,Apoio,
Uma metodologia para definição de requisitos em sistemas Data Warehouse,2003,5,X,-,-,-,Sim,
Data Warehouse na prática: fundamentos e implantação,2002,5,X,-,-,-,Apoio,
Metodologia e uso de técnica de exploração e análise de dados na construção de Date Warehouse,2002,5,X,-,-,-,Apoio,
Incorporation of Ontologies in Data Warehouse/Business Intelligence Systems - A Systematic Literature Review,2022,4,-,-,-,X,Sim,
A novel requirements engineering approach for designing data warehouses,2016,4,X,X,-,-,Sim,
Functionality for business indicators in data warehouse requirements engineering,2014,4,-,X,-,-,,
A framework for detecting unnecessary industrial data in ETL processes,2014,4,-,-,X,-,,
An Agent Oriented Approach of Requirement Engineering in Developing a Data Ware Houses for Banking System,2013,4,X,-,-,-,,
A MDA Tool for Data Warehouse,2010,4,-,-,X,-,,
Automated fault analysis: From requirements to implementation,2009,4,-,-,X,-,,
Empirical Validation of Requirements Traceability Metrics for Requirements Model of Data Warehouse using SVM,2020,3,-,X,X,-,,
A requirements driven approach to data warehouse consolidation,2017,3,-,X,X,-,Sim,
Re-engineering Enterprises Using Data Warehouse as a Driver and Requirements as an Enabler,2017,3,-,X,X,-,Sim,
Eliciting Information Requirements for DW Systems.,2016,3,X,-,-,-,Sim,
Eliciting and structuring business indicators in data warehouse requirements engineering,2016,3,-,X,-,-,,
Effects of aggregation and data size on query performance and memory requirements of a Data Warehouse,2014,3,-,X,-,-,,
How specific should Requirements Engineering be in the context of Decision Information Systems?,2009,3,-,-,X,-,,
Requirements Engineering for Data Warehousing,2003,3,X,-,-,-,Sim,
Formally investigating traceability metrics of data warehouse requirements model using briand's framework,2021,2,-,X,X,-,Sim,
Uso de Metodologias de Desenvolvimento de Software e de Engenharia de Requisitos em empresas de Tecnologia: um estudo a partir de um Survey,2019,2,X,-,-,-,Sim,
Requirements customized recommendation in a decision-making system,2018,2,X,-,-,-,,
Técnicas de aquisição de conhecimento na coleta de requisitos na modelagem de um banco data warehouse,2017,2,X,-,-,-,Sim,
Data warehouse requirements engineering: an emerging discipline,2016,2,X,-,-,-,Indisponivel,
Goal oriented approaches in data warehouse requirements engineering: A review,2016,2,-,X,-,-,Sim,
Extending a metamodel for formalization of data warehouse requirements,2014,2,-,X,-,-,,
Validação de dados em sistemas de data warehouse através de índice de similaridade no processo de ETL e mapeamento de trilhas de auditoria utilizando indexação ontológica,2013,2,X,-,-,-,Sim,
Implementação de soluções de Business Process Management no sector bancário e segurador,2013,2,X,-,-,-,,
Towards data warehouse quality through integrated requirements analysis,2011,2,-,X,X,-,,
0028/2009-Problemas na Elicitação de Requisitos: Uma visão de pesquisa/literatura,2009,2,X,-,-,-,,
Towards data warehouse business quality through requirements elicitation,2008,2,-,X,X,-,,
Uma metodologia para desenvolvimento de Data Warehouse,2005,2,X,-,-,-,Apoio,
Uma metodologia para desenvolvimento da data warehouse e estudo de caso,2002,2,X,-,-,-,,
Materialização/utilização eficientes de visões em Data Warehouses.,1999,2,X,-,-,-,,
Developing a data warehouse as the first step for information systems reengineering,1997,2,-,-,X,-,,
Business intelligence como suporte à tomada de decisão: o estado da arte por meio do ProKnow-C,2022,1,X,-,-,-,Sim,
Investigating requirements completeness metrics for requirements schemas using requirements engineering approach of data warehouse: a formal and empirical validation,2022,1,X,-,-,-,Sim,
Metodologia E Engenharia De Requisitos Para Projetos De Business Intelligence,2021,1,X,-,-,-,Sim,
Empirical study to predict the understandability of requirements schemas of data warehouse using requirements metrics,2021,1,X,-,-,-,Sim,
Storytelling de dados: contando histórias com Dashboards,2020,1,X,-,-,-,,
FERRAMENTAS DE BI PARA INTELIGÊNCIA COMPETITIVA,2019,1,X,-,-,-,,
Requirements-driven modeling for decision-making systems,2018,1,-,-,X,-,,
Uma linha de processo de software para elicitação de requisitos baseada na criatividade combinacional,2016,1,X,-,-,-,,
